Commodity,Year,Attribute,Value
"Flour, white, all-purpose, per pound",2000,Retail price-Dollars,0.29025
"Flour, white, all-purpose, per pound",2000,Farm value-Dollars,0.0479890106544901
"Flour, white, all-purpose, per pound",2000,Farm share-Percent,16.533681534708
"Flour, white, all-purpose, per pound",2001,Retail price-Dollars,0.302333333333333
"Flour, white, all-purpose, per pound",2001,Farm value-Dollars,0.0527198240106545
"Flour, white, all-purpose, per pound",2001,Farm share-Percent,17.4376485151007
"Flour, white, all-purpose, per pound",2002,Retail price-Dollars,0.3115
"Flour, white, all-purpose, per pound",2002,Farm value-Dollars,0.0656903919330289
"Flour, white, all-purpose, per pound",2002,Farm share-Percent,21.0884083252099
"Flour, white, all-purpose, per pound",2003,Retail price-Dollars,0.311666666666667
"Flour, white, all-purpose, per pound",2003,Farm value-Dollars,0.0634896784627093
"Flour, white, all-purpose, per pound",2003,Farm share-Percent,20.3710198276073
"Flour, white, all-purpose, per pound",2004,Retail price-Dollars,0.302583333333333
"Flour, white, all-purpose, per pound",2004,Farm value-Dollars,0.0665038346651446
"Flour, white, all-purpose, per pound",2004,Farm share-Percent,21.9786839983954
"Flour, white, all-purpose, per pound",2005,Retail price-Dollars,0.323916666666667
"Flour, white, all-purpose, per pound",2005,Farm value-Dollars,0.0649230688736682
"Flour, white, all-purpose, per pound",2005,Farm share-Percent,20.0431393487013
"Flour, white, all-purpose, per pound",2006,Retail price-Dollars,0.328666666666667
"Flour, white, all-purpose, per pound",2006,Farm value-Dollars,0.0842668947298326
"Flour, white, all-purpose, per pound",2006,Farm share-Percent,25.6390146236813
"Flour, white, all-purpose, per pound",2007,Retail price-Dollars,0.36025
"Flour, white, all-purpose, per pound",2007,Farm value-Dollars,0.114302697431507
"Flour, white, all-purpose, per pound",2007,Farm share-Percent,31.7287154563517
"Flour, white, all-purpose, per pound",2008,Retail price-Dollars,0.506666666666667
"Flour, white, all-purpose, per pound",2008,Farm value-Dollars,0.15010911162481
"Flour, white, all-purpose, per pound",2008,Farm share-Percent,29.6267983470019
"Flour, white, all-purpose, per pound",2009,Retail price-Dollars,0.501083333333333
"Flour, white, all-purpose, per pound",2009,Farm value-Dollars,0.100968503386606
"Flour, white, all-purpose, per pound",2009,Farm share-Percent,20.1500422524409
"Flour, white, all-purpose, per pound",2010,Retail price-Dollars,0.476916666666667
"Flour, white, all-purpose, per pound",2010,Farm value-Dollars,0.097331369815449
"Flour, white, all-purpose, per pound",2010,Farm share-Percent,20.4084647524967
"Flour, white, all-purpose, per pound",2011,Retail price-Dollars,0.518083333333333
"Flour, white, all-purpose, per pound",2011,Farm value-Dollars,0.129263946784627
"Flour, white, all-purpose, per pound",2011,Farm share-Percent,24.9504159790176
"Flour, white, all-purpose, per pound",2012,Retail price-Dollars,0.516916666666667
"Flour, white, all-purpose, per pound",2012,Farm value-Dollars,0.136431869520548
"Flour, white, all-purpose, per pound",2012,Farm share-Percent,26.3933972956082
"Flour, white, all-purpose, per pound",2013,Retail price-Dollars,0.521583333333333
"Flour, white, all-purpose, per pound",2013,Farm value-Dollars,0.137024431754186
"Flour, white, all-purpose, per pound",2013,Farm share-Percent,26.2708608571693
"Flour, white, all-purpose, per pound",2014,Retail price-Dollars,0.529833333333333
"Flour, white, all-purpose, per pound",2014,Farm value-Dollars,0.124391004090563
"Flour, white, all-purpose, per pound",2014,Farm share-Percent,23.4773835968348
"Flour, white, all-purpose, per pound",2015,Retail price-Dollars,0.516666666666667
"Flour, white, all-purpose, per pound",2015,Farm value-Dollars,0.0954319476788432
"Flour, white, all-purpose, per pound",2015,Farm share-Percent,18.4706995507438
"Flour, white, all-purpose, per pound",2016,Retail price-Dollars,0.525
"Flour, white, all-purpose, per pound",2016,Farm value-Dollars,0.069074573164003
"Flour, white, all-purpose, per pound",2016,Farm share-Percent,13.1570615550482
"Flour, white, all-purpose, per pound",2017,Retail price-Dollars,0.50725
"Flour, white, all-purpose, per pound",2017,Farm value-Dollars,0.0727179931982496
"Flour, white, all-purpose, per pound",2017,Farm share-Percent,14.3357305467224
"Flour, white, all-purpose, per pound",2018,Retail price-Dollars,0.46175
"Flour, white, all-purpose, per pound",2018,Farm value-Dollars,0.093772758533105
"Flour, white, all-purpose, per pound",2018,Farm share-Percent,20.3081231257401
"Flour, white, all-purpose, per pound",2019,Retail price-Dollars,0.441166666666667
"Flour, white, all-purpose, per pound",2019,Farm value-Dollars,0.0840363360920853
"Flour, white, all-purpose, per pound",2019,Farm share-Percent,19.0486594844168
"Flour, white, all-purpose, per pound",2020,Retail price-Dollars,0.451363636363636
"Flour, white, all-purpose, per pound",2020,Farm value-Dollars,0.0879212868150685
"Flour, white, all-purpose, per pound",2020,Farm share-Percent,19.4790363537916
"Flour, white, all-purpose, per pound",2021,Retail price-Dollars,0.40375
"Flour, white, all-purpose, per pound",2021,Farm value-Dollars,0.118332887842466
"Flour, white, all-purpose, per pound",2021,Farm share-Percent,29.3084551931804
"Flour, white, all-purpose, per pound",2022,Retail price-Dollars,0.493916666666667
"Flour, white, all-purpose, per pound",2022,Farm value-Dollars,0.163115666314688
"Flour, white, all-purpose, per pound",2022,Farm share-Percent,33.0249366589549
