Commodity,Year,Attribute,Value
"Vegetable (soybean) oil, per gallon",2008,Retail price-Dollars,7.85190058975314
"Vegetable (soybean) oil, per gallon",2008,Farm value-Dollars,3.53014273721458
"Vegetable (soybean) oil, per gallon",2008,Farm share-Percent,44.9590859800426
"Vegetable (soybean) oil, per gallon",2009,Retail price-Dollars,7.32490545703961
"Vegetable (soybean) oil, per gallon",2009,Farm value-Dollars,2.4143592696096
"Vegetable (soybean) oil, per gallon",2009,Farm share-Percent,32.9609615273502
"Vegetable (soybean) oil, per gallon",2010,Retail price-Dollars,6.81470896111951
"Vegetable (soybean) oil, per gallon",2010,Farm value-Dollars,2.84245280931476
"Vegetable (soybean) oil, per gallon",2010,Farm share-Percent,41.7105532390602
"Vegetable (soybean) oil, per gallon",2011,Retail price-Dollars,7.88431848105456
"Vegetable (soybean) oil, per gallon",2011,Farm value-Dollars,4.04259363633672
"Vegetable (soybean) oil, per gallon",2011,Farm share-Percent,51.273850061369
"Vegetable (soybean) oil, per gallon",2012,Retail price-Dollars,8.10364160200384
"Vegetable (soybean) oil, per gallon",2012,Farm value-Dollars,3.73977685982537
"Vegetable (soybean) oil, per gallon",2012,Farm share-Percent,46.1493368475304
"Vegetable (soybean) oil, per gallon",2013,Retail price-Dollars,7.87550672930402
"Vegetable (soybean) oil, per gallon",2013,Farm value-Dollars,3.33697174009173
"Vegetable (soybean) oil, per gallon",2013,Farm share-Percent,42.3715178564343
"Vegetable (soybean) oil, per gallon",2014,Retail price-Dollars,7.36348937229136
"Vegetable (soybean) oil, per gallon",2014,Farm value-Dollars,2.55980985132414
"Vegetable (soybean) oil, per gallon",2014,Farm share-Percent,34.7635437752738
"Vegetable (soybean) oil, per gallon",2015,Retail price-Dollars,6.74113327269472
"Vegetable (soybean) oil, per gallon",2015,Farm value-Dollars,2.14997384146463
"Vegetable (soybean) oil, per gallon",2015,Farm share-Percent,31.8933590910181
"Vegetable (soybean) oil, per gallon",2016,Retail price-Dollars,6.5096641216126
"Vegetable (soybean) oil, per gallon",2016,Farm value-Dollars,2.24812528621835
"Vegetable (soybean) oil, per gallon",2016,Farm share-Percent,34.535196351443
"Vegetable (soybean) oil, per gallon",2017,Retail price-Dollars,6.45909814023149
"Vegetable (soybean) oil, per gallon",2017,Farm value-Dollars,2.32718869626575
"Vegetable (soybean) oil, per gallon",2017,Farm share-Percent,36.0296228009062
"Vegetable (soybean) oil, per gallon",2018,Retail price-Dollars,6.27041268483688
"Vegetable (soybean) oil, per gallon",2018,Farm value-Dollars,1.98867319665735
"Vegetable (soybean) oil, per gallon",2018,Farm share-Percent,31.7151884032508
"Vegetable (soybean) oil, per gallon",2019,Retail price-Dollars,6.30141327640757
"Vegetable (soybean) oil, per gallon",2019,Farm value-Dollars,1.98989271261298
"Vegetable (soybean) oil, per gallon",2019,Farm share-Percent,31.5785146177147
"Vegetable (soybean) oil, per gallon",2020,Retail price-Dollars,6.18451083046748
"Vegetable (soybean) oil, per gallon",2020,Farm value-Dollars,2.16164992501696
"Vegetable (soybean) oil, per gallon",2020,Farm share-Percent,34.9526419190306
